Time(s)	P_load(kW)	P_pv(kW)	P_grid(kW)	ChargeReq(kW)
79.9	100	250	-1.994	148
80	100	250	-1.994	148
80.1	100	250	-1.994	148
80.2	100	250	-1.994	148
80.3	100	250	-1.994	148
80.4	100	250	-1.994	148
80.5	100	250	-1.994	148
80.6	100	250	-1.994	148
80.7	100	250	-1.994	148
80.8	100	250	-1.994	148
80.9	100	250	-1.994	148
81	100	250	-1.994	148
81.1	100	250	-1.994	148
81.2	100	250	-1.994	148
81.3	100	250	-1.994	148
81.4	100	250	-1.994	148
81.5	100	250	-1.994	148
81.6	100	250	-1.994	148
81.7	100	250	-1.994	148
81.8	100	250	-1.994	148
81.9	100	250	-1.994	148
82	100	250	-1.994	148
82.1	100	250	-1.994	148
82.2	100	250	-1.994	148
82.3	100	250	-1.994	148
82.4	100	250	-1.994	148
82.5	100	250	-1.994	148
82.6	100	250	-1.994	148
82.7	100	250	-1.994	148
82.8	100	250	-1.994	148
82.9	100	250	-1.994	148
83	100	250	-1.994	148
83.1	100	250	-1.994	148
83.2	100	250	-1.994	148
83.3	100	250	-1.994	148
83.4	100	250	-1.994	148
83.5	100	250	-1.994	148
83.6	100	250	-1.994	148
83.7	100	250	-1.994	148
83.8	100	250	-1.994	148
83.9	100	250	-1.994	148
84	100	250	-1.994	148
84.1	100	250	-1.994	148
84.2	100	250	-1.994	148
84.3	100	250	-1.994	148
84.4	100	250	-1.994	148
84.5	100	250	-1.994	148
84.6	100	250	-1.994	148
84.7	100	250	-1.994	148
84.8	100	250	-1.994	148
84.9	100	250	-1.994	148
85	100	250	-1.994	148
85.1	100	250	-1.994	148
85.2	100	250	-1.994	148
85.3	100	250	-1.994	148
85.4	100	250	-1.994	148
85.5	100	250	-1.994	148
85.6	100	250	-1.994	148
85.7	100	250	-1.994	148
85.8	100	250	-1.994	148
85.9	100	250	-1.994	148
86	100	250	-1.994	148
86.1	100	250	-1.994	148
