Time_s,Load_kW,P_grid_kW,P_bat_kW,A_window_kW,P_req_kW,en,comm,alarm
39.900,200.000,200.000,0.000,200.000,0.000,1,0,0
40.000,200.000,200.000,0.000,200.000,0.000,1,0,0
40.100,200.000,200.000,0.000,200.000,0.000,1,0,0
40.200,200.000,200.000,0.000,200.000,0.000,1,0,0
40.300,200.000,200.000,0.000,200.000,0.000,1,0,0
40.400,200.000,200.000,0.000,200.000,0.000,1,0,0
40.500,200.000,200.000,0.000,200.000,0.000,1,0,0
40.600,200.000,200.000,0.000,200.000,0.000,1,0,0
40.700,200.000,200.000,0.000,200.000,0.000,1,0,0
40.800,200.000,200.000,0.000,200.000,0.000,1,0,0
40.900,200.000,200.000,0.000,200.000,0.000,1,0,0
41.000,200.000,200.000,0.000,200.000,0.000,1,0,0
41.100,200.000,200.000,0.000,200.000,0.000,1,0,0
41.200,200.000,200.000,0.000,200.000,0.000,1,0,0
41.300,200.000,200.000,0.000,200.000,0.000,1,0,0
41.400,200.000,200.000,0.000,200.000,0.000,1,0,0
41.500,200.000,200.000,0.000,200.000,0.000,1,0,0
41.600,200.000,200.000,0.000,200.000,0.000,1,0,0
41.700,200.000,200.000,0.000,200.000,0.000,1,0,0
41.800,200.000,200.000,0.000,200.000,0.000,1,0,0
41.900,200.000,200.000,0.000,200.000,0.000,1,0,0
42.000,200.000,200.000,0.000,200.000,0.000,1,0,0
42.100,200.000,200.000,0.000,200.000,0.000,1,0,0
42.200,200.000,200.000,0.000,200.000,0.000,1,0,0
42.300,200.000,200.000,0.000,200.000,0.000,1,0,0
42.400,200.000,200.000,0.000,200.000,0.000,1,0,0
42.500,200.000,200.000,0.000,200.000,0.000,1,0,0
42.600,200.000,200.000,0.000,200.000,0.000,1,0,0
42.700,200.000,200.000,0.000,200.000,0.000,1,0,0
42.800,200.000,200.000,0.000,200.000,0.000,1,0,0
42.900,200.000,200.000,0.000,200.000,0.000,1,0,0
43.000,200.000,200.000,0.000,200.000,0.000,1,0,0
43.100,200.000,200.000,0.000,200.000,0.000,1,0,0
43.200,200.000,200.000,0.000,200.000,0.000,1,0,0
43.300,200.000,200.000,0.000,200.000,0.000,1,0,0
43.400,200.000,200.000,0.000,200.000,0.000,1,0,0
43.500,200.000,200.000,0.000,200.000,0.000,1,0,0
43.600,200.000,200.000,0.000,200.000,0.000,1,0,0
43.700,200.000,200.000,0.000,200.000,0.000,1,0,0
43.800,200.000,200.000,0.000,200.000,0.000,1,0,0
43.900,200.000,200.000,0.000,200.000,0.000,1,0,0
44.000,200.000,200.000,0.000,200.000,0.000,1,0,0
44.100,200.000,200.000,0.000,200.000,0.000,1,0,0
44.200,200.000,200.000,0.000,200.000,0.000,1,0,0
44.300,200.000,200.000,0.000,200.000,0.000,1,0,0
44.400,200.000,200.000,0.000,200.000,0.000,1,0,0
44.500,200.000,200.000,0.000,200.000,0.000,1,0,0
44.600,200.000,200.000,0.000,200.000,0.000,1,0,0
44.700,200.000,200.000,0.000,200.000,0.000,1,0,0
44.800,200.000,200.000,0.000,200.000,0.000,1,0,0
44.900,200.000,200.000,0.000,200.000,0.000,1,0,0
45.000,200.000,200.000,0.000,200.000,0.000,1,0,0
45.100,200.000,200.000,0.000,200.000,0.000,1,0,0
45.200,200.000,200.000,0.000,200.000,0.000,1,0,0
45.300,200.000,200.000,0.000,200.000,0.000,1,0,0
45.400,200.000,200.000,0.000,200.000,0.000,1,0,0
45.500,200.000,200.000,0.000,200.000,0.000,1,0,0
